region;personas_hogar;meses_en_chile;mayores_15;sexo_seleccionado;edad_seleccionado;nacionalidad_seleccionado;barrio;P1;P2;P3;P5_pais;P6;P8;P15;P24;I_1_P58;I_2_P58;I_3_P58;I_4_P58;I_5_P58;I_6_P58;I_7_P58;I_1_P75;I_2_P75;I_3_P75;I_4_P75;I_5_P75;I_6_P75;I_7_P75;I_8_P75;I_9_P75;I_10_P75;I_11_P75;P76;P77;P77_cod_O1;P77_cod_O2;P77_cod_O3;P78;P79;P80;P80_cod_O1;P80_cod_O2;P81;I_1_P82;I_2_P82;I_3_P82;I_4_P82;I_5_P82;I_6_P82;I_7_P82;I_8_P82
1;6;Sí;4;Hombre;32;Extranjero;Barrios de Iquique y Alto Hospicio;Otro Familiar;Hombre;32;Otro; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);2;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;No sabe [NO LEER];De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo
1;1;Sí;1;Mujer;29;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;29;Bolivia; ;Otra nacionalidad (extranjeros);Soltero/a;5;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;No; ; ; ; ; ;No sabe [NO LEER]; ; ; ; ;Muy de acuerdo;Poco de acuerdo;Muy de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo
1;6;Sí;4;Mujer;24;Chileno;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;24; ; ;Chilena (exclusivamente);Soltero/a;5;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Sí;pidieron un permiso;Otros; ; ;Insatisfecho;No; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Poco de acuerdo;Bastante de acuerdo;Muy de acuerdo;Poco de acuerdo;Muy de acuerdo;Nada de acuerdo
1;5;Sí;2;Hombre;58;Chileno;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;58; ; ;Chilena (exclusivamente);Casado/a;6;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Nada de acuerdo;Bastante de acuerdo;Bastante de acuerdo
1;3;Sí;2;Mujer;58;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;58;Perú; ;Otra nacionalidad (extranjeros);Separado/a;5;Muy de acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo
1;5;Sí;2;Hombre;40;Extranjero;Barrios de Iquique y Alto Hospicio;Esposo(a) o cónyuge;Hombre;40;Perú; ;Otra nacionalidad (extranjeros);Casado/a;9;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Poco de acuerdo;Poco de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Bastante de acuerdo
1;2;Sí;2;Hombre;44;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;44;Colombia; ;Otra nacionalidad (extranjeros);Soltero/a;9;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;2;Sí;2;Mujer;52;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;52;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;9;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Muy de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo
1;3;Sí;2;Hombre;26;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;26;Colombia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);5;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;3;Sí;1;Mujer;32;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;32;Perú; ;Otra nacionalidad (extranjeros);Separado/a;2;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;No sabe [NO LEER];En desacuerdo;Muy de acuerdo;No responde [NO LEER]; ; ; ; ; ;No sabe [NO LEER]; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;1;Sí;1;Mujer;33;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;33;Bolivia; ;Otra nacionalidad (extranjeros);Soltero/a;6;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Muy de acuerdo;Poco de acuerdo;Bastante de acuerdo;Muy de acuerdo
1;2;Sí;2;Mujer;35;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;32;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;4;Muy de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;No sabe [NO LEER]; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Muy de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo
1;2;Sí;2;Mujer;60;Chileno;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;70; ;No sabe [NO LEER];Chilena (exclusivamente);Casado/a;6;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;2;Sí;2;Hombre;68;Chileno;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;68; ;Más de 5 años;Chilena (exclusivamente);Casado/a;4;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;2;Sí;2;Hombre;54;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;54;Otro; ;Otra nacionalidad (extranjeros);Casado/a;5;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Nada de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo
1;1;Sí;1;Mujer;33;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;33;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;5;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;No sabe [NO LEER];De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo
1;2;Sí;1;Mujer;38;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;38;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;5;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;Sí;qitar la mercaderia;Otros; ; ;Insatisfecho;No; ; ; ; ;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;5;Sí;2;Hombre;34;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;34;Perú; ;Chilena y otra (doble nacionalidad);Casado/a;Totalmente satisfecho;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Sí;aaalto a la hemana;Víctima de un delito; ; ;Ni satisfecho ni insatisfecho;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo
1;4;Sí;2;Hombre;46;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;46;Perú; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);5;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo
1;3;Sí;2;Mujer;44;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;44;Bolivia; ;Otra nacionalidad (extranjeros);Soltero/a;7;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;2;Sí;2;Mujer;33;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;34;Ecuador; ;Otra nacionalidad (extranjeros);Soltero/a;6;No sabe [NO LEER];De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Muy de acuerdo;Bastante de acuerdo;Muy de acuerdo;Muy de acuerdo;Nada de acuerdo;Muy de acuerdo;Muy de acuerdo
1;3;Sí;1;Mujer;40;Chileno;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;40; ;Más de 5 años;Chilena (exclusivamente);Casado/a;5;De acuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Poco de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo
1;2;Sí;2;Mujer;63;Chileno;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;63; ; ;Chilena (exclusivamente);Soltero/a;5;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo
1;2;Sí;2;Mujer;34;Extranjero;Barrios de Iquique y Alto Hospicio;Hermano(a);Mujer;34;Ecuador; ;Otra nacionalidad (extranjeros);Soltero/a;6;De acuerdo;De acuerdo;No sabe [NO LEER];En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo
1;1;Sí;1;Hombre;31;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;31;Otro; ;Otra nacionalidad (extranjeros);Soltero/a;8;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;2;Sí;1;Mujer;38;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;38;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;5;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Sí;para quitarme la mercaderia que estaba vendiendo;Otros; ; ;Insatisfecho;No; ; ; ; ;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo
